solvent,dielectric_constant,avg_dielectric_constant,viscosity,pi-star,beta,alpha,et_30,z,bp,class,cis_min,cis_max,cis_acid_min,cis_acid_max,cis_monoester_min,cis_monoester_max,laudanosine_besylate_min,laudanosine_besylate_max,laudanosine_min,laudanosine_max,cis_qp_min,cis_qp_max,cis_amide_min,cis_amide_max,midazolam_acetamide_min,midazolam_acetamide_max,midazolam_lactam_min,midazolam_lactam_max,diha_min,diha_max
1-butanol,17.8,FALSE,2.59,0.47,0.88,0.79,50,78,117.7,3,0,1,0,1,333.3333,500,5,10,50,66.66667,0,2,5.05,5.77,0,6.6,10,20,,
2-butanol,17.26,FALSE,3.1,,0.56,0.33,47,75,99,3,0,1,0,1,250,333.3333,0,1,0,1,0,2,3.31,3.76,3.23,3.67,5,10,,
3-Methyl-1-butanol,15,TRUE,4.3,,,,49,,131,3,0,1,0,1,200,250,2,5,20,40,0,2,5,5.71,5.02,5.74,5,10,0,520
Acetic Acid,6.2,FALSE,1.12,0.64,,1.12,55,,118,3,66,100,200,266,,,50,66,160,200,0,2,199,265.33,25,33.33,100,200,,
Acetone,21,FALSE,0.3,0.71,0.48,0.08,42,66,56,3,20,40,2,5,,,1,2,0,1,200,266,7.96,9.95,0,65,33,50,565,1130
Anisole,33,FALSE,0.98,0.73,0.22,0,37,,154,3,0,1,0,1,333.3333,500,5,10,160,200,5,10,3.23,3.67,70,105,10,20,0,153
Butyl Acetate,5.07,FALSE,0.74,0.46,,0,38,,126,3,0,1,0,1,,,0,1,0,1,0,2,2.06,2.29,33.8,50.75,10,20,0,530
CPME,4.76,TRUE,0.57,0.42,0.61,0,,,106,3,0,1,0,1,2.5,6.25,0,1,0,1,0,2,,,0,57.4,5,10,,
Diethyl ether,4.27,FALSE,0.22,0.27,0.47,0,34,,35,3,0,1,0,1,0,1,0,1,0,1,0,2,20.5,25.63,0,21.6,1,5,,
DMSO,47,FALSE,2,1,0.76,0,45,71,189,3,40,50,266,400,,,266,400,160,200,66,100,20.5,25.63,0,200,250,333,,
Ethanol,24.6,FALSE,1.08,0.54,0.77,0.83,52,80,78,3,20,40,10,20,,,50,66,10,50,2,5,7.88,9.85,0,7,20,25,525,1050
Ethyl Acetate,6,FALSE,0.43,0.55,0.45,0,38,64,77,3,0,1,0,1,,,0,1,1,2,0,2,1.22,1.4,0,85.3,25,33,540,
Ethyl Formate,9.1,FALSE,0.42,0.61,0.36,0,41,,54,3,0,1,0,1,25,50,1,2,0,1,4,5,6.53,7.84,51,68,20,25,525,1050
Formic Acid,57,TRUE,2.25,,0.38,0.75,58,,101,3,160,200,400,800,,,400,800,200,266.6667,400,800,396,792,13.8,20.7,250,333,,
Heptane,1.92,FALSE,0.39,-0.08,0,0,31,,98,3,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,5.2,,1,,
Isobutanol,17.9,FALSE,6.68,,0.48,0.37,,,108,3,2,5,0,1,,,1,2,0,1,0,2,5.63,6.57,2.89,3.23,5,10,0,510
Isobutyl Acetate,5.1,FALSE,0.69,,,,,,118,3,0,1,0,1,,,0,1,20,40,0,2,1.65,1.99,68,102,10,20,0,510
Isopropanol,18.3,FALSE,2.07,0.48,0.95,0.76,48,76,83,3,10,20,1,2,,,1,2,0,1,0,2,4.27,5.08,0,4,5,10,510,1020
Isopropyl Acetate,,,0.0049,,,,,,89,3,0,1,0,1,,,0,1,0,1,0,2,1.71,2.05,33.3,50,10,20,0,333
Methyl Acetate,7,TRUE,0.36,0.6,0.42,0,40,,57,3,0,1,0,1,,,0,1,0,1,0,2,2.21,2.49,68.3,102.5,25,33,505,
Methyl Ethyl Ketone (2-butanone),18.6,FALSE,0.41,0.67,0.48,0.06,41,64,80,3,0,1,0,1,2.5,6.25,0,1,0,1,0,2,3,3.36,32.33,48.5,67,100,0,560
Methyl t-butyl ether,2.6,FALSE,0.36,,,,35,,55,3,0,1,0,1,0,1,0,1,0,1,0,2,0,1,10.5,14,1,5,,
Pentane,1.84,FALSE,0.23,,0,0,31,,36,3,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,,1,,
Pentanol,14,FALSE,3.5,0.4,0.86,0.84,49,78,138,3,0,1,0,1,62.5,83.33333,5,10,0,1,0,2,4.95,5.66,4.4,5.22,,,,
Propanol,20.1,FALSE,1.95,0.52,,0.78,51,78,97,3,0,1,0,1,125,142.8571,0,1,0,1,0,2,6.73,8.08,5.03,5.74,,,,
Propyl Acetate,8.1,FALSE,0.54,,0,0.4,38,,102,3,0,1,0,1,,,0,1,0,1,0,2,2.08,2.31,63.67,95.5,20,25,0,520
TEA,2.4,FALSE,0.36,0.14,0.781,0,32,,89,3,0,1,0,1,,,0,1,0,1,0,2,2.9,3.25,0,1,0,1,,
Water,78.54,FALSE,0.89,1.09,0.18,1.17,63,95,100,3,160,200,160,200,,,1,2,0,1,5,10,0,1,0,1,0,1,0,1
"1,2-dichloroethene",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"1,2-dimethoxyethane",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"1,4-Dioxane",,,,,,,,,,2,,,,,,,,,,,,,8.36,10.45,206,274.67,,,,
2-Ethoxyethanol,,,,,,,,,,2,,,,,,,,,,,,,13.33,20,33.67,50.5,,,,
2-Me-THF,6.97,TRUE,0.48,0.53,0.52,0.53,,,80,2,0,1,0,1.7,0,1,0,1,1,2,,,,,0,125.3,,,505,1010
2-Methoxyethanol,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Acetonitrile,36.6,FALSE,0.34,0.75,0.31,0.19,46,71,82,2,832,1040,38.95,40.73,,,1,2,0,1,,,20.5,25.6,0,32.6,,,530,1060
Chlorobenzene,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Chloroform,4.81,FALSE,0.54,0.58,0,0.44,39,,61,2,0,600,,,,,,,,,,,408,816,0,500,,,,
Cumene,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Cyclohexane,2.02,FALSE,0.89,0,0,0,31,,81,2,0,1,0,1,1.25,2.5,,,,,,,0,1,0,1,,,,
Ethylene Glycol,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Formamide,,,,,,,,,,2,,,,,,,,,,,,,10.1,13.47,,,,,,
Hexane,,,,,,,,,,2,,,,,,,,,,,,,0,1,0,9.8,,,0,1
Methanol,32.6,FALSE,0.54,0.6,0.62,0.93,55,84,65,2,832,1040,,,,,400,800,114.2857,133.3333,,,13.67,20.5,0,8.7,20,40,505,1010
Methylbutylketone,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Methylcyclohexane,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Methylene Chloride (DCM),9.08,FALSE,0.42,0.82,0,0.3,41,64,40,2,832,1040,400,800,,,0,1,0,1,,,258.67,388,100,200,20,40,,
Methylisobutylketone,,,,,,,,,,2,,,,,,,,,,,,,6.87,8.24,,,,,530,1060
"N,N-dimethylacetamide",,,,,,,,,,2,,,,,,,,,,,,,101.5,203,,,,,,
"N,N-dimethylformamide",,,,,,,,,,2,,,,,,,,,,,,,102.5,205,,,,,0,1000
Nitromethane,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
N-Methylpyrrolidone,,,,,,,,,,2,,,,,,,,,,,,,68.33,102.5,199,265.33,326.6667,490,,
Pyridine,,,,,,,,,,2,,,,,,,,,,,,,101,202,,,,,,
Sulfolane,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
THF,7.52,FALSE,0.46,0.58,0.55,0,37,,66,2,5,10,,,,,0,1,0,1,,,3.12,3.55,,,,,,
Tetralin,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Toluene,2.38,FALSE,0.55,0.54,0.11,0,34,,111,2,,,0,1.4,,,0,1,160,200,,,1.29,1.47,,,2.5,10,0,153
Trichloroethylene,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Xylene,,,,,,,,,,2,,,0,1,,,,,,,,,0,1,50,66.67,2.5,10,,